zipcode,year,month,volume
10032.0,2018,11,2863
10032.0,2019,12,67562
10032.0,2023,5,9727
10033.0,2009,1,317
10033.0,2011,3,12
10033.0,2011,9,1310
10033.0,2012,1,31014
10033.0,2012,9,12094
10033.0,2013,5,2742
10033.0,2015,8,5837
10033.0,2020,2,63991
10033.0,2021,3,2018
10033.0,2021,4,4899
10033.0,2021,6,8653
10034.0,2013,8,52571
10034.0,2016,11,18472
10034.0,2017,11,0
10034.0,2018,11,15314
10035.0,2010,9,9460
10035.0,2011,5,117612
10035.0,2012,6,15560
10035.0,2014,1,13226
10035.0,2014,2,0
10035.0,2014,5,3555
10035.0,2015,1,41952
10035.0,2017,2,6893
10035.0,2019,2,46
10036.0,2012,9,2563
10036.0,2014,3,47303
10036.0,2017,3,81383
10036.0,2018,11,85062
10036.0,2022,3,67772
10037.0,2009,9,109526
10037.0,2009,10,107815
10037.0,2009,11,59
10038.0,2009,11,438
10038.0,2010,10,4055
10038.0,2012,5,3365
10038.0,2013,11,1421
10038.0,2014,7,93120
10038.0,2017,9,7218
10038.0,2017,10,46919
10038.0,2024,3,82025
10039.0,2009,9,33457
10039.0,2009,10,79054
10039.0,2010,10,175473
10039.0,2011,4,20837
10039.0,2012,3,175169
10039.0,2012,9,6428
10039.0,2012,10,26578
10039.0,2014,7,20297
10039.0,2016,2,53102
10039.0,2018,1,129468
10039.0,2021,6,133380
10039.0,2022,4,5459
10039.0,2024,3,107285
10040.0,2017,3,13915
10040.0,2020,11,17626
10044.0,2011,11,20906
10065.0,2008,8,423175
10065.0,2010,3,37
10065.0,2010,10,301371
10065.0,2012,6,209959
10065.0,2013,7,237
10065.0,2013,10,15726
10065.0,2016,2,12533
10065.0,2016,10,31192
10065.0,2016,11,795
10065.0,2017,10,13603
10065.0,2017,11,9325
10065.0,2017,12,4677
10065.0,2018,10,431407
10065.0,2018,11,6852
10065.0,2023,11,1439
10075.0,2010,3,60372
10075.0,2013,1,28298
10128.0,2010,3,77000
10128.0,2011,8,935
10128.0,2021,2,20085
10128.0,2021,3,27539
10128.0,2022,2,49634
10301.0,2009,7,57394
10301.0,2009,12,6307
10301.0,2011,7,19739
10301.0,2011,10,77078
10301.0,2011,11,995
10301.0,2012,4,40952
10301.0,2012,5,4462
10301.0,2013,1,496
10301.0,2015,11,64716
10301.0,2015,12,14010
10301.0,2016,2,9692
10301.0,2016,5,20801
10301.0,2017,7,6334
10301.0,2017,8,21822
10301.0,2018,2,605
10301.0,2019,9,5562
10301.0,2019,10,11084
10301.0,2023,5,679
10302.0,2009,3,27031
10302.0,2009,7,47576
10302.0,2011,5,1280
10302.0,2020,10,34808
10303.0,2012,1,57655
10303.0,2019,4,58402
10303.0,2019,9,6641
10303.0,2022,9,10212
10303.0,2023,9,14609
10304.0,2011,7,1851
10304.0,2012,1,13958
10304.0,2012,4,5438
10304.0,2014,10,228
10304.0,2015,5,1072
10304.0,2015,12,115245
10304.0,2016,2,103271
10305.0,2000,1,89862
10305.0,2009,3,1199
10305.0,2009,4,885
10305.0,2009,6,26797
10305.0,2009,7,8341
10305.0,2011,9,39584
10305.0,2012,9,10100
10305.0,2012,12,86152
10305.0,2018,2,3042
10305.0,2018,3,1007
10305.0,2019,4,42526
10305.0,2024,3,5586
10306.0,2009,5,16313
10306.0,2009,6,87004
10306.0,2009,7,31182
10306.0,2009,11,33865
10306.0,2009,12,232
10306.0,2010,7,32023
10306.0,2011,6,15647
10306.0,2011,7,0
10306.0,2012,1,1615
10306.0,2012,4,696
10306.0,2012,5,30408
10306.0,2012,12,42839
10306.0,2013,6,80271
10306.0,2013,9,821
10306.0,2014,10,72047
10306.0,2015,10,142457
10306.0,2016,2,120035
10306.0,2016,3,19192
10306.0,2016,4,23705
10306.0,2016,6,14465
10306.0,2016,8,123397
10306.0,2016,9,36982
10306.0,2017,3,336
10306.0,2017,4,49525
10306.0,2017,8,139114
10306.0,2017,9,127572
10306.0,2018,3,301792
10306.0,2018,4,124808
10306.0,2019,4,8313
10306.0,2020,1,313076
10306.0,2020,8,27755
10306.0,2021,3,168438
10306.0,2021,11,21964
10306.0,2022,2,21622
10306.0,2022,4,440
10306.0,2022,5,382270
10307.0,2014,10,102659
10307.0,2015,2,121816
10307.0,2015,8,26282
10307.0,2017,11,1632
10307.0,2018,3,24578
10307.0,2019,1,5642
10308.0,2009,6,19
10308.0,2009,7,1800
10308.0,2010,2,3
10308.0,2011,9,70545
10308.0,2011,10,11897
10308.0,2013,11,14120
10308.0,2015,8,328
10309.0,2009,9,1628
10309.0,2010,2,262
10309.0,2010,3,238
10309.0,2011,6,10080
10309.0,2011,7,15988
10309.0,2012,8,84188
10309.0,2012,9,3129
10309.0,2014,8,13381
10310.0,2010,2,111649
10310.0,2010,11,2750
10310.0,2010,12,3662
10310.0,2011,5,31077
10310.0,2012,12,23519
10310.0,2014,3,8
10310.0,2015,5,43127
10310.0,2016,6,3582
10310.0,2016,8,17862
10310.0,2019,10,12421
10312.0,2008,3,433385
10312.0,2009,2,2
10312.0,2009,11,1988
10312.0,2009,12,8760
10312.0,2010,2,3163
10312.0,2010,3,56
10312.0,2010,9,31438
10312.0,2010,10,6360
10312.0,2012,1,1692
10312.0,2012,5,6203
10312.0,2012,11,4425
10312.0,2012,12,8092
10312.0,2013,2,59119
10312.0,2013,10,13082
10312.0,2015,6,6517
10312.0,2017,9,91583
10312.0,2019,1,115241
