TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate per 100,000 adults",Unnamed: 7,Zip Codes
2017-2019,Borough,4,1,Queens,102,5,0,"11001, 11004, 11005, 11101, 11102, 11103, 11104, 11105, 11106, 11109, 11351, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11379, 11385, 11411, 11412, 11413, 11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11427, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436, 11691, 11692, 11693, 11694, 11697"
2017-2019,Borough,5,1,Staten Island,40,10,0,"10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308, 10309, 10310, 10312, 10314"
2017-2019,Citywide,1,0,New York City,499,7,0,"10001-10475, 11004-11109, 11354-11436, 11691-11697"
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,10.9,14.8,0,"10463, 10471"
2015-2017,UHF42,102,4,Northeast Bronx,24.1,15.4,0,"10466, 10469, 10470, 10475"
2015-2017,UHF42,103,4,Fordham - Bronx Pk,36.5,19.4,0,"10458, 10460, 10467, 10468"
2015-2017,UHF42,104,4,Pelham - Throgs Neck,36.8,15.9,0,"10461, 10462, 10464, 10465"
2015-2017,UHF42,105,4,Crotona -Tremont,32.4,21.4,0,"10453, 10457, 10459, 10460"
2015-2017,UHF42,106,4,High Bridge - Morrisania,39.7,25.8,0,"10451, 10452, 10456"
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,26.7,26.5,0,"10454, 10455, 10459, 10474"
2015-2017,UHF42,201,4,Greenpoint,6.9,6.6,0,"11211, 11222"
2015-2017,UHF42,202,4,Downtown - Heights - Slope,16.2,7.8,0,"11201, 11205, 11215, 11217, 11231"
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,31.3,12.4,0,"11213, 11216, 11233, 11238"
2015-2017,UHF42,204,4,East New York,17.7,13.2,0,"11207, 11208"
2015-2017,UHF42,205,4,Sunset Park,7.3,7.4,0,"11220, 11232"
2015-2017,UHF42,206,4,Borough Park,20.9,8.8,0,"11204, 11218, 11219"
2015-2017,UHF42,207,4,East Flatbush - Flatbush,22.8,9.7,0,"11203, 11210, 11225, 11226"
2015-2017,UHF42,208,4,Canarsie - Flatlands,18.9,11.9,0,"11234, 11236, 11239"
