TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate per 100,000 adults",Unnamed: 7,Zip Codes
2005-2007,UHF42,402,4,West Queens,47.9,,0,"11374, 11375, 11378, 11379, 11385"
2005-2007,UHF42,403,4,Flushing - Clearview,31.6,,0,"11354, 11355, 11356, 11357, 11358, 11360"
2005-2007,UHF42,404,4,Bayside - Little Neck,10.4,,0,"11361, 11362, 11363, 11364"
2005-2007,UHF42,405,4,Ridgewood - Forest Hills,33.5,,0,"11375, 11379, 11385"
2005-2007,UHF42,406,4,Fresh Meadows,10.6,,0,"11365, 11366"
2005-2007,UHF42,407,4,Southwest Queens,26.5,,0,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
2005-2007,UHF42,408,4,Jamaica,37.5,,0,"11412, 11423, 11432, 11433, 11434, 11435, 11436"
2005-2007,UHF42,409,4,Southeast Queens,19.4,,0,"11004, 11005, 11411, 11412, 11413, 11422, 11426, 11427, 11428, 11429"
2005-2007,UHF42,410,4,Rockaways,23,,0,"11691, 11692, 11693, 11694, 11697"
2005-2007,UHF42,501,4,Port Richmond,8.9,,0,"10302, 10303, 10310"
2005-2007,UHF42,502,4,Stapleton - St. George,18.9,,0,"10301, 10304, 10305"
2005-2007,UHF42,503,4,Willowbrook,11.9,,0,10314
2005-2007,UHF42,504,4,South Beach - Tottenville,21,,0,"10306, 10307, 10308, 10309, 10312"
2005-2007,Borough,1,1,Bronx,284.6,30.8,0,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10458, 10459, 10460, 10461, 10462, 10463, 10464, 10465, 10466, 10467, 10468, 10469, 10470, 10471, 10472, 10473, 10474, 10475"
2005-2007,Borough,2,1,Brooklyn,351.7,19.6,0,"11201, 11203, 11204, 11205, 11206, 11207, 11208, 11209, 11210, 11211, 11212, 11213, 11214, 11215, 11216, 11217, 11218, 11219, 11220, 11221, 11222, 11223, 11224, 11225, 11226, 11228, 11229, 11230, 11231, 11232, 11233, 11234, 11235, 11236, 11237, 11238, 11239, 11249"
2005-2007,Borough,3,1,Manhattan,237.3,18.3,0,"10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10048, 10065, 10075, 10128, 10280, 10282"
2005-2007,Borough,4,1,Queens,269.4,15.7,0,"11001, 11004, 11005, 11101, 11102, 11103, 11104, 11105, 11106, 11109, 11351, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11379, 11385, 11411, 11412, 11413, 11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11427, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436, 11691, 11692, 11693, 11694, 11697"
2005-2007,Borough,5,1,Staten Island,60.8,17.5,0,"10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308, 10309, 10310, 10312, 10314"
2005-2007,Citywide,1,0,New York City,"1,203.80",19.8,0,"10001-10475, 11004-11109, 11354-11436, 11691-11697"
